x,y,pci,rsrp
80.0,0.0,40.0,-89.303311
81.0,0.0,41.0,-89.303311
82.0,0.0,41.0,-91.32001233333334
83.0,0.0,41.0,-91.32001233333334
84.0,0.0,41.0,-93.93207433333333
85.0,0.0,41.0,-97.92473633333334
86.0,0.0,41.0,-97.92473633333333
87.0,0.0,41.0,-97.92473633333333
88.0,0.0,41.0,-97.92473633333333
89.0,0.0,41.0,-97.92473633333333
90.0,0.0,41.0,-97.92473633333333
91.0,0.0,41.0,-97.92473633333333
92.0,0.0,41.0,-96.07552466666668
93.0,0.0,41.0,-96.07552466666668
94.0,0.0,41.0,-92.42557666666669
95.0,0.0,41.0,-92.42557666666669
96.0,0.0,41.0,-94.07856266666666
97.0,0.0,41.0,-94.07856266666666
98.0,0.0,41.0,-94.07856266666666
99.0,0.0,41.0,-91.84476066666667
100.0,0.0,41.0,-91.84476066666667
101.0,0.0,39.0,-91.84476066666667
102.0,0.0,41.0,-91.84476066666667
103.0,0.0,41.0,-91.84476066666667
104.0,0.0,39.0,-91.84476066666667
80.0,1.0,40.0,-89.303311
81.0,1.0,41.0,-89.303311
82.0,1.0,41.0,-91.32001233333334
83.0,1.0,41.0,-91.32001233333334
84.0,1.0,41.0,-93.93207433333333
85.0,1.0,41.0,-97.92473633333334
86.0,1.0,41.0,-97.92473633333333
87.0,1.0,41.0,-97.92473633333333
88.0,1.0,41.0,-97.92473633333333
89.0,1.0,41.0,-97.92473633333333
90.0,1.0,41.0,-97.92473633333333
91.0,1.0,41.0,-96.07552466666668
92.0,1.0,41.0,-96.07552466666668
93.0,1.0,41.0,-92.42557666666669
94.0,1.0,41.0,-92.42557666666669
95.0,1.0,41.0,-94.07856266666666
96.0,1.0,41.0,-94.07856266666666
97.0,1.0,41.0,-94.07856266666666
98.0,1.0,41.0,-91.84476066666667
99.0,1.0,41.0,-91.84476066666667
100.0,1.0,41.0,-91.84476066666667
101.0,1.0,41.0,-91.84476066666667
102.0,1.0,41.0,-91.84476066666667
103.0,1.0,41.0,-91.84476066666667
104.0,1.0,39.0,-91.84476066666667
81.0,2.0,41.0,-89.303311
82.0,2.0,41.0,-89.303311
83.0,2.0,41.0,-91.32001233333334
84.0,2.0,41.0,-93.93207433333333
85.0,2.0,41.0,-97.92473633333334
86.0,2.0,41.0,-97.92473633333333
87.0,2.0,41.0,-97.92473633333333
88.0,2.0,41.0,-97.92473633333333
89.0,2.0,41.0,-97.92473633333333
90.0,2.0,41.0,-97.92473633333333
91.0,2.0,41.0,-96.07552466666668
92.0,2.0,41.0,-92.42557666666669
93.0,2.0,41.0,-92.42557666666669
94.0,2.0,41.0,-92.42557666666669
95.0,2.0,41.0,-94.07856266666666
96.0,2.0,41.0,-94.07856266666666
97.0,2.0,41.0,-91.84476066666667
98.0,2.0,41.0,-91.84476066666667
99.0,2.0,41.0,-91.84476066666667
100.0,2.0,41.0,-91.84476066666667
101.0,2.0,41.0,-91.84476066666667
102.0,2.0,41.0,-91.84476066666667
103.0,2.0,39.0,-91.84476066666667
104.0,2.0,39.0,-91.84476066666667
81.0,3.0,41.0,-89.303311
82.0,3.0,41.0,-89.30331100000001
83.0,3.0,41.0,-90.07128966666666
84.0,3.0,41.0,-93.93207433333333
85.0,3.0,41.0,-97.92473633333334
86.0,3.0,41.0,-97.92473633333333
87.0,3.0,41.0,-97.92473633333333
88.0,3.0,41.0,-97.92473633333333
90.0,3.0,41.0,-96.11887166666668
91.0,3.0,41.0,-92.42557666666669
92.0,3.0,41.0,-92.42557666666669
93.0,3.0,41.0,-92.42557666666669
94.0,3.0,41.0,-92.42557666666669
95.0,3.0,39.0,-91.41324300000001
96.0,3.0,41.0,-91.84476066666667
97.0,3.0,41.0,-91.84476066666667
98.0,3.0,41.0,-91.84476066666667
99.0,3.0,41.0,-91.84476066666667
100.0,3.0,41.0,-91.84476066666667
101.0,3.0,41.0,-91.84476066666667
102.0,3.0,39.0,-91.84476066666667
103.0,3.0,39.0,-91.84476066666667
104.0,3.0,39.0,-94.74946666666666
81.0,4.0,41.0,-89.303311
82.0,4.0,41.0,-89.30331100000001
83.0,4.0,41.0,-90.07128966666666
84.0,4.0,41.0,-95.04858
85.0,4.0,41.0,-97.92473633333334
86.0,4.0,41.0,-97.92473633333333
87.0,4.0,41.0,-97.92473633333333
88.0,4.0,41.0,-97.92473633333333
89.0,4.0,41.0,-96.11887166666668
90.0,4.0,41.0,-92.42557666666669
91.0,4.0,41.0,-92.42557666666669
92.0,4.0,41.0,-92.42557666666669
93.0,4.0,41.0,-92.42557666666669
94.0,4.0,41.0,-91.41324300000001
95.0,4.0,39.0,-91.84476066666667
